idx,seed,pred_label,confidence
0,11,TOXIC,1.0
1,11,DEFER,0.666667
2,11,TOXIC,1.0
3,11,TOXIC,1.0
4,11,NON_TOXIC,1.0
5,11,NON_TOXIC,1.0
6,11,NON_TOXIC,1.0
7,11,NON_TOXIC,1.0
8,11,NON_TOXIC,1.0
9,11,DEFER,0.666667
0,22,TOXIC,1.0
1,22,DEFER,0.666667
2,22,TOXIC,1.0
3,22,TOXIC,1.0
4,22,NON_TOXIC,1.0
5,22,NON_TOXIC,1.0
6,22,DEFER,0.666667
7,22,NON_TOXIC,1.0
8,22,NON_TOXIC,1.0
9,22,TOXIC,1.0
0,33,TOXIC,1.0
1,33,DEFER,0.666667
2,33,TOXIC,1.0
3,33,TOXIC,1.0
4,33,NON_TOXIC,1.0
5,33,NON_TOXIC,1.0
6,33,DEFER,0.666667
7,33,NON_TOXIC,1.0
8,33,NON_TOXIC,1.0
9,33,DEFER,0.666667
